,rID
201,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-451336
299,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2565924
327,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8939790
416,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8939797
430,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2453687
431,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2470277
448,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5693080
486,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-175986
535,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-453132
553,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5635063
561,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8960083
746,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-CPE-9661715
747,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-CPE-9661737
755,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9661701
757,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9663470
925,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2545205
1105,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-974998
1186,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9604605
1246,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-351835
1263,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5244779
1432,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161915
1433,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9026899
1452,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9027561
1453,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9028288
1463,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9022670
1466,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161751
1472,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9024779
1473,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9025025
1490,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8957350
1512,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9029001
1618,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-428470
1640,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9027665
2078,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5250898
2209,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8853807
2348,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74731
2349,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74819
2388,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-69593
2529,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8867341
2538,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8876883
2730,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-ALL-72617
2814,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2869445
2817,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-170641
2887,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-71237
2891,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-165022
2962,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-70827
3228,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3076903
3295,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2167826
3296,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2167848
3313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8953316
3314,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8953409
3315,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8953410
3644,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5661266
3800,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5490258
3844,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5359039
3846,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5357666
3853,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5359068
3873,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9693721
3917,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-445025
3943,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-4420020
4006,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-380618
4021,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-555063
4147,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9028348
4185,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-390344
4430,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-ALL-2529006
4449,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5359054
4465,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2465932
4466,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2465962
4467,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2466001
4492,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161595
4524,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161957
4550,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161764
4558,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161598
4604,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2161674
4678,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3159312
4735,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1678773
4754,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2247521
4784,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1630327
4786,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1793214
4792,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-997387
4806,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3076890
4871,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-204704
4922,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-177742
5108,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1655455
5283,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8939794
